Company Name,Ticker,Industry,Business Model 1,Business Model 2,Business Model 3,Company Power #1,Company Power #2,Company Power #3,Mechanism #1,Mechanism #2,Mechanism #3
Crown Holdings Inc.,CCK_US,Metal Packaging,Low Cost Operators,Mission-Critical Products & Services,Physical Infra & Networks,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
CS Disco Inc.,LAW_US,Internet Services,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
CSG Systems International Inc.,CSGS_US,Enterprise Software: CRM,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
CSW Industrials Inc.,CSWI_US,Building Products Manufacturers,Mission-Critical Products & Services,Serial Acquirer,OEMs w/ Installed Base,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Purchasing Clout,Process Power: Proprietary Routines
CSX Corporation,CSX_US,Railroads,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Cornered Resource,Scale,Switching Costs,Cornered Resource: Scarce Natural Asset,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In
CTS Eventim,EVD_DE,Event Ticketing,Marketplaces & Platforms,B2B Middlemen,Serial Acquirer,Network Effects,Scale,Switching Costs,Network Effects: Cross-Side,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In
Cummins Inc.,CMI_US,Heavy Equipment: Components,Mission-Critical Products & Services,OEMs w/ Installed Base,B2B Middlemen,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Cumulus Media Inc.,CMLS_US,Radio Stations,Physical Infra & Networks,Serial Acquirer,Low Cost Operators,Cornered Resource,Scale,Process Power,Cornered Resource: Scarce Natural Asset,Scale: Purchasing Clout,Process Power: Proprietary Routines
Curaleaf Holdings Inc,CURA_CA,Dispensary Chain,Vertically Integrated Retailer,Serial Acquirer,Low Cost Operators,Cornered Resource,Scale,Process Power,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout,Process Power: Proprietary Routines
Curtiss-Wright Corporation,CW_US,Defense Electronics,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Cornered Resource,Scale,Switching Costs: Contractual Lock-In,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
Custom Truck One Source Inc.,CTOS_US,Equipment Rental: Dealer,Mission-Critical Products & Services,Serial Acquirer,Low Cost Operators,Scale,Switching Costs,Cornered Resource,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
CVR Partners LP representing Limited Partner Interests,UAN_US,Nitrogen Fertilizers,Low Cost Operators,Physical Infra & Networks,Mission-Critical Products & Services,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
"CWB Holdings, Inc.",CWEB_CA,CBD Products,B2B Software,Mission-Critical Products & Services,,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Data-Portability Frictions,Brand: Trust Halo
CyberArk Software Ltd.,CYBR_US,Enterprise Software: Security,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Brand,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Brand: Trust Halo
Cytek Biosciences Inc.,CTKB_US,Flow Cytometry,Mission-Critical Products & Services,Unique IP & Brands,B2B Software,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
D.R. Horton Inc.,DHI_US,Residential Construction,Low Cost Operators,Serial Acquirer,Vertically Integrated Retailer,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Daikin Industries Ltd,6367_JP,HVAC: System Manufacturers,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Daimler Truck,DTG_DE,Heavy Equipment: Transportation,OEMs w/ Installed Base,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Dana Incorporated,DAN_US,Auto Suppliers: Powertrain Products,OEMs w/ Installed Base,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Contractual Lock-In,Process Power: Proprietary Routines
Danaher Corporation,DHR_US,Life Science Tools,Mission-Critical Products & Services,Serial Acquirer,Unique IP & Brands,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Danone,BN_FR,Dairy Products,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Darden Restaurants Inc.,DRI_US,Fine Dining,Franchisors,Unique IP & Brands,Serial Acquirer,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Emotional Resonance,Process Power: Proprietary Routines
Dassault Aviation,AM_FR,Business Jets,OEMs w/ Installed Base,Mission-Critical Products & Services,Unique IP & Brands,Brand,Cornered Resource,Scale,Brand: Status Signaling,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Dassault Systemes Se,DSY_FR,Design Software,B2B Software,Mission-Critical Products & Services,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip
Datadog Inc.,DDOG_US,Infrastructure Software,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
Dave & Buster's Entertainment Inc.,PLAY_US,Casual Dining,Franchisors,Unique IP & Brands,Vertically Integrated Retailer,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset
Davide Campari-Milano N.V.,CPR_IT,Spirits,Unique IP & Brands,Serial Acquirer,,Brand,Scale,Cornered Resource,Brand: Emotional Resonance,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Dayforce Inc.,DAY_US,Enterprise Software: HCM,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Process Power,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Process Power: Proprietary Routines
Deckers Outdoor Corporation,DECK_US,Performance Footwear,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Deere & Co.,DE_US,Heavy Equipment: Agriculture,OEMs w/ Installed Base,Mission-Critical Products & Services,Unique IP & Brands,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Definitive Healthcare Corp.,DH_US,Enterprise Software: Analytics,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Cornered Resource,Scale,Switching Costs: Data-Portability Frictions,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Dell Technologies Inc.,DELL_US,Enterprise Servers,OEMs w/ Installed Base,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Data-Portability Frictions,Process Power: Proprietary Routines
Delta Air Lines,DAL_US,Legacy Carrier,Physical Infra & Networks,Mission-Critical Products & Services,Low Cost Operators,Scale,Cornered Resource,Brand,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Brand: Trust Halo
Delta Air Lines Inc.,DAL_US,Legacy Carrier,Physical Infra & Networks,Mission-Critical Products & Services,Low Cost Operators,Scale,Cornered Resource,Brand,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Brand: Trust Halo
Denny's Corporation,DENN_US,Casual Dining,Franchisors,Low Cost Operators,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Emotional Resonance,Process Power: Proprietary Routines
DENTSPLY SIRONA Inc.,XRAY_US,Dental Equipment,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
Desire2Learn,DTOL_CA,Learning Platform,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Switching Costs,Network Effects,Scale,Switching Costs: Data-Portability Frictions,Network Effects: Same-Side,Scale: Learning-Curve Effects
Despegar.com Corp.,DESP_US,Online Travel,Marketplaces & Platforms,Low Cost Operators,B2B Middlemen,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Purchasing Clout,Brand: Trust Halo
Deutsche Borse AG,DB1_DE,Financial Exchanges,Marketplaces & Platforms,Physical Infra & Networks,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Area/Volume Relationships
Deutsche Lufthansa AG,LHAG_DE,European Carrier,Physical Infra & Networks,Mission-Critical Products & Services,Low Cost Operators,Scale,Cornered Resource,Brand,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Brand: Trust Halo
Deutsche Post AG,XTRA:DHL,Diversified Logistics,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Scale,Network Effects,Process Power,Scale: Area/Volume Relationships,Network Effects: Same-Side,Process Power: Proprietary Routines
Deutsche Telekom AG,DTE_DE,Wireless Carrier,Physical Infra & Networks,Mission-Critical Products & Services,B2B Software,Scale,Switching Costs,Cornered Resource,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Cornered Resource: Scarce Natural Asset
DexCom Inc.,DXCM_US,CGM Systems,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Data-Portability Frictions,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
DHI Group Inc.,DHX_US,Distribution & Exchange Software & Service Platforms,Marketplaces & Platforms,B2B Software,Auctions & Classifieds,Network Effects,Switching Costs,Scale,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Diageo plc,DGE_GB,Spirits,Unique IP & Brands,Serial Acquirer,,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Diamond Estates Wines & Spirits,DWS_CA,Wine,Unique IP & Brands,Vertically Integrated Retailer,Serial Acquirer,Brand,Cornered Resource,Scale,Brand: Emotional Resonance,Cornered Resource: Scarce Natural Asset,Scale: Purchasing Clout
Diamondrock Hospitality Company,DRH_US,Hotel REIT,Physical Infra & Networks,Serial Acquirer,Low Cost Operators,Cornered Resource,Scale,Process Power,Cornered Resource: Scarce Natural Asset,Scale: Purchasing Clout,Process Power: Proprietary Routines
Diasorin S.p.A.,DIA_IT,IVD Systems,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Retraining Time,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Dick's Sporting Goods Inc,DKS_US,Athletic Retail,Vertically Integrated Retailer,Low Cost Operators,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
DiDi Global Inc.,DIDI_US,Ridesharing,Marketplaces & Platforms,Low Cost Operators,,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Brand: Trust Halo
DigitalOcean Holdings Inc.,DOCN_US,Product Development Software & Service Platforms,B2B Software,Physical Infra & Networks,Low Cost Operators,Scale,Switching Costs,Counter-Positioning,Scale: Area/Volume Relationships,Switching Costs: Data-Portability Frictions,Counter-Positioning: Entrant Model Incumbents Can't Mimic Without Self-Harm
Dillard's Inc.,DDS_US,Department Store,Vertically Integrated Retailer,Low Cost Operators,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Dine Brands Global Inc.,DIN_US,Casual Dining,Franchisors,Unique IP & Brands,,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Diodes Incorporated,DIOD_US,Semiconductors: IDM,Low Cost Operators,Mission-Critical Products & Services,OEMs w/ Installed Base,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Retraining Time
Disco Corporation/ADR,6146_JP,"Semiconductor Lithography, Deposition, Etch/Clean",Mission-Critical Products & Services,Unique IP & Brands,B2B Software,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
Discover Financial Services,DFS_US,Card Network,Mission-Critical Products & Services,Low Cost Operators,Marketplaces & Platforms,Scale,Network Effects,Switching Costs,Scale: Purchasing Clout,Network Effects: Cross-Side,Switching Costs: Data-Portability Frictions
Distribution Solutions Group Inc.,DSGR_US,Industrial Distribution: Technology Distribution,B2B Middlemen,Serial Acquirer,Low Cost Operators,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Data-Portability Frictions
DLocal Limited,DLO_US,Cross-Border Payments,Marketplaces & Platforms,B2B Middlemen,Mission-Critical Products & Services,Network Effects,Scale,Switching Costs,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Switching Costs: Data-Portability Frictions
D-Market Electronic Services & Trading,HEPS_US,Turkish E-commerce,Marketplaces & Platforms,Low Cost Operators,Vertically Integrated Retailer,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Purchasing Clout,Brand: Trust Halo
DNOW Inc.,DNOW_US,Industrial Distribution: Energy Distribution,B2B Middlemen,Mission-Critical Products & Services,Low Cost Operators,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Docebo Inc.,DCBO_CA,Learning Platform,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
Docebo Inc.,DCBO_CA,Enterprise Software: HCM,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
DocuSign Inc.,DOCU_US,Productivity Software & Tools,B2B Software,Mission-Critical Products & Services,,Switching Costs,Network Effects,Scale,Switching Costs: Data-Portability Frictions,Network Effects: Cross-Side,Scale: Learning-Curve Effects
Dole plc,DOLE_US,Produce Distribution,Vertically Integrated Retailer,Low Cost Operators,B2B Middlemen,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Dollar General Corporation,DG_US,Dollar Stores,Low Cost Operators,Vertically Integrated Retailer,,Scale,Counter-Positioning,Process Power,Scale: Purchasing Clout,Counter-Positioning: Entrant Model Incumbents Can'T Mimic Without Self-Harm,Process Power: Proprietary Routines
Dollar Tree Inc.,DLTR_US,Dollar Stores,Low Cost Operators,Vertically Integrated Retailer,,Scale,Process Power,Counter-Positioning,Scale: Purchasing Clout,Process Power: Proprietary Routines,Counter-Positioning: Entrant Model Incumbents Can't Mimic Without Self-Harm
Doman Building Materials,DBM_CA,Building Products Distribution: Building Materials,B2B Middlemen,Low Cost Operators,Physical Infra & Networks,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Domino's Pizza Inc,DPZ_US,QSR,Franchisors,Low Cost Operators,Physical Infra & Networks,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Domo Inc.,DOMO_US,Enterprise Software: Analytics,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
DoorDash Inc.,DASH_US,Food Delivery,Marketplaces & Platforms,Low Cost Operators,B2B Software,Network Effects,Scale,Process Power,Network Effects: Cross-Side,Scale: Area/Volume Relationships,Process Power: Flywheel Feedback
Dorel Industries Inc,DII/B_CA,Home Furnishings,Low Cost Operators,Serial Acquirer,Unique IP & Brands,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Dorman Products Inc.,DORM_US,Auto Suppliers: Aftermarket Parts,Low Cost Operators,OEMs w/ Installed Base,Serial Acquirer,Scale,Process Power,Brand,Scale: Purchasing Clout,Process Power: Proprietary Routines,Brand: Trust Halo
DoubleVerify Holdings Inc.,DV_US,Ad Verification,B2B Software,Mission-Critical Products & Services,B2B Middlemen,Scale,Network Effects,Switching Costs,Scale: Learning-Curve Effects,Network Effects: Data Network Effects,Switching Costs: Data-Portability Frictions
Douglas AG,DOU_DE,Beauty Retail,Vertically Integrated Retailer,Franchisors,,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Douglas Dynamics Inc.,PLOW_US,Heavy Equipment: Components,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Scale,Brand,Switching Costs,Scale: Purchasing Clout,Brand: Trust Halo,Switching Costs: Retraining Time
Dow Inc.,DOW_US,Petrochemicals,Low Cost Operators,Physical Infra & Networks,Mission-Critical Products & Services,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Doximity Inc.,DOCS_US,Physician Network,B2B Software,Marketplaces & Platforms,Mission-Critical Products & Services,Network Effects,Switching Costs,Scale,Network Effects: Same-Side,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects
Dr. Martens,DOCS_GB,Footwear,Unique IP & Brands,Vertically Integrated Retailer,,Brand,Scale,Cornered Resource,Brand: Status Signaling,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
DraftKings Inc.,DKNG_US,Online Gaming,Marketplaces & Platforms,Unique IP & Brands,,Network Effects,Brand,Scale,Network Effects: Cross-Side,Brand: Trust Halo,Scale: Learning-Curve Effects
Dream Finders Homes Inc.,DFH_US,Residential Construction,Low Cost Operators,Vertically Integrated Retailer,,Scale,Process Power,Cornered Resource,Scale: Purchasing Clout,Process Power: Proprietary Routines,Cornered Resource: Scarce Natural Asset
Dropbox Inc,DBX_US,Infrastructure Software,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Area/Volume Relationships,Network Effects: Same-Side
Dsv As,DSV_DK,Freight Forwarding,B2B Middlemen,Physical Infra & Networks,Serial Acquirer,Scale,Network Effects,Process Power,Scale: Purchasing Clout,Network Effects: Same-Side,Process Power: Proprietary Routines
Ducommun Incorporated,DCO_US,Defense Electronics,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Switching Costs,Scale,Cornered Resource,Switching Costs: Contractual Lock-In,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
"DuPont de Nemours, Inc.",DD_US,Specialty Materials,Mission-Critical Products & Services,Unique IP & Brands,Serial Acquirer,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip,Process Power: Proprietary Routines
Dutch Bros Inc.,BROS_US,QSR,Franchisors,Unique IP & Brands,Low Cost Operators,Brand,Scale,Process Power,Brand: Emotional Resonance,Scale: Area/Volume Relationships,Process Power: Proprietary Routines
DXC Technology Company,DXC_US,IT Infrastructure,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Purchasing Clout,Process Power: Proprietary Routines
DXP Enterprises Inc.,DXPE_US,Industrial Distribution: Industrial MRO,B2B Middlemen,Mission-Critical Products & Services,Serial Acquirer,Scale,Switching Costs,Process Power,Scale: Purchasing Clout,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Dycom Industries Inc.,DY_US,Construction and Engineering: Telecom Infrastructure,Mission-Critical Products & Services,Low Cost Operators,Physical Infra & Networks,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
Dynatrace Inc.,DT_US,Infrastructure Software,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
e.l.f. Beauty Inc.,ELF_US,Cosmetics,Low Cost Operators,Unique IP & Brands,Vertically Integrated Retailer,Scale,Counter-Positioning,Brand,Scale: Purchasing Clout,Counter-Positioning: Entrant Model Incumbents Can'T Mimic Without Self-Harm,Brand: Emotional Resonance
E2open Parent Holdings Inc.Class A,ETWO_US,Enterprise Software and ERP,B2B Software,Mission-Critical Products & Services,Serial Acquirer,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Cross-Side
Eagle Materials Inc,EXP_US,Cement,Physical Infra & Networks,Low Cost Operators,Mission-Critical Products & Services,Cornered Resource,Scale,Switching Costs,Cornered Resource: Scarce Natural Asset,Scale: Area/Volume Relationships,Switching Costs: Retraining Time
Eastman Chemical Company,EMN_US,Specialty Chemicals,Mission-Critical Products & Services,Unique IP & Brands,Low Cost Operators,Scale,Cornered Resource,Process Power,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip,Process Power: Proprietary Routines
easyJet,EZJ_GB,Low-Cost Carrier,Low Cost Operators,Physical Infra & Networks,,Scale,Counter-Positioning,Cornered Resource,Scale: Purchasing Clout,Counter-Positioning: Entrant Model Incumbents Can'T Mimic Without Self-Harm,Cornered Resource: Scarce Natural Asset
Eaton Corporation PLC,ETN_US,Power Management,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
eBay Inc.,EBAY_US,Online Marketplace,Marketplaces & Platforms,Auctions & Classifieds,,Network Effects,Scale,Brand,Network Effects: Cross-Side,Scale: Learning-Curve Effects,Brand: Trust Halo
Ecolab,ECL_US,Water Treatment,Mission-Critical Products & Services,B2B Software,Serial Acquirer,Switching Costs,Scale,Process Power,Switching Costs: Retraining Time,Scale: Purchasing Clout,Process Power: Proprietary Routines
Ecovyst Inc.,ECVT_US,Catalysts,Mission-Critical Products & Services,Unique IP & Brands,Low Cost Operators,Switching Costs,Cornered Resource,Scale,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
Edgewell Personal Care Company,EPC_US,Personal Care,Unique IP & Brands,Low Cost Operators,Serial Acquirer,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
Edwards Lifesciences Corporation,EW_US,Structural Heart,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Cornered Resource,Switching Costs,Scale,Cornered Resource: Exclusive Ip,Switching Costs: Retraining Time,Scale: Learning-Curve Effects
El Pollo Loco Holdings Inc.,LOCO_US,QSR,Franchisors,Low Cost Operators,Unique IP & Brands,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Emotional Resonance,Process Power: Proprietary Routines
Elanco Animal Health Incorporated,ELAN_US,Animal Pharma,Unique IP & Brands,Mission-Critical Products & Services,Serial Acquirer,Brand,Cornered Resource,Scale,Brand: Trust Halo,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout
Elastic N.V.,ESTC_US,Enterprise Software: Analytics,B2B Software,Mission-Critical Products & Services,,Switching Costs,Scale,Network Effects,Switching Costs: Data-Portability Frictions,Scale: Learning-Curve Effects,Network Effects: Data Network Effects
Elbit Systems Ltd.,ESLT_US,Defense Electronics,Mission-Critical Products & Services,Unique IP & Brands,OEMs w/ Installed Base,Switching Costs,Cornered Resource,Scale,Switching Costs: Contractual Lock-In,Cornered Resource: Exclusive Ip,Scale: Learning-Curve Effects
Electrolux,ELUXB_SE,Household Appliances,OEMs w/ Installed Base,Unique IP & Brands,Low Cost Operators,Scale,Brand,Process Power,Scale: Purchasing Clout,Brand: Trust Halo,Process Power: Proprietary Routines
Elekta,EKTAB_SE,Radiation Therapy,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Retraining Time,Scale: Learning-Curve Effects,Cornered Resource: Exclusive Ip
Element Solutions Inc.,ESI_US,Electroplating,Mission-Critical Products & Services,Serial Acquirer,Unique IP & Brands,Switching Costs,Scale,Cornered Resource,Switching Costs: Retraining Time,Scale: Purchasing Clout,Cornered Resource: Exclusive Ip
Elisa,ELISA_FI,Finnish Telecom,Physical Infra & Networks,Mission-Critical Products & Services,B2B Software,Scale,Switching Costs,Network Effects,Scale: Area/Volume Relationships,Switching Costs: Contractual Lock-In,Network Effects: Same-Side
Embecta Corp.,EMBC_US,Diabetes Supplies,Mission-Critical Products & Services,OEMs w/ Installed Base,Unique IP & Brands,Switching Costs,Scale,Brand,Switching Costs: Retraining Time,Scale: Purchasing Clout,Brand: Trust Halo
Embraer S.A.,BOVESPA:EMBR3,Regional Aircraft,OEMs w/ Installed Base,Mission-Critical Products & Services,Unique IP & Brands,Scale,Switching Costs,Cornered Resource,Scale: Learning-Curve Effects,Switching Costs: Retraining Time,Cornered Resource: Exclusive Ip
EMCOR Group Inc.,EME_US,Construction and Engineering: Electrical Contractor,Mission-Critical Products & Services,Serial Acquirer,B2B Middlemen,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
EMCOR Group Inc.,EME_US,HVAC: Contractors & Installers,Mission-Critical Products & Services,Serial Acquirer,B2B Middlemen,Scale,Process Power,Switching Costs,Scale: Purchasing Clout,Process Power: Proprietary Routines,Switching Costs: Contractual Lock-In
Emergent BioSolutions Inc.,EBS_US,Vaccine CDMO,Mission-Critical Products & Services,Unique IP & Brands,Serial Acquirer,Cornered Resource,Scale,Process Power,Cornered Resource: Exclusive Ip,Scale: Purchasing Clout,Process Power: Proprietary Routines
Emerson Electric Company,EMR_US,HVAC: Components & Controls,Mission-Critical Products & Services,OEMs w/ Installed Base,Serial Acquirer,Scale,Switching Costs,Brand,Scale: Purchasing Clout,Switching Costs: Retraining Time,Brand: Trust Halo
Encompass Health Corporation,EHC_US,Rehabilitation,Mission-Critical Products & Services,Physical Infra & Networks,Serial Acquirer,Scale,Cornered Resource,Process Power,Scale: Area/Volume Relationships,Cornered Resource: Scarce Natural Asset,Process Power: Proprietary Routines
Endava plc,DAVA_US,Digital Transformation,B2B Software,Mission-Critical Products & Services,,Scale,Switching Costs,Process Power,Scale: Learning-Curve Effects,Switching Costs: Retraining Time,Process Power: Proprietary Routines
Enerflex Ltd,EFX_CA,Process Equipment,OEMs w/ Installed Base,Mission-Critical Products & Services,Low Cost Operators,Switching Costs,Scale,Process Power,Switching Costs: Contractual Lock-In,Scale: Purchasing Clout,Process Power: Proprietary Routines
Energizer Holdings Inc.,ENR_US,Batteries,Unique IP & Brands,Low Cost Operators,Mission-Critical Products & Services,Brand,Scale,Process Power,Brand: Trust Halo,Scale: Purchasing Clout,Process Power: Proprietary Routines
EnerSys,ENS_US,Electrical Components: Power,Mission-Critical Products & Services,OEMs w/ Installed Base,Low Cost Operators,Switching Costs,Scale,Process Power,Switching Costs: Contractual Lock-In,Scale: Purchasing Clout,Process Power: Proprietary Routines
